COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;GYROX;GYROY;TIMESTAMP;ES_TIMESTAMP;FUNC_ID;FUNC_VALUE;MARKER;SYNC_SIGNAL
99;0;452;4304,61538461538;4171,28205128205;4317,4358974359;4386,15384615385;4292,82051282051;4469,23076923077;4589,23076923077;4010,25641025641;4427,17948717949;4194,8717948718;4436,92307692308;4288,20512820513;4138,97435897436;4935,38461538462;1594;1734;72,223;15,2162017822266;0;0;0;0
100;0;352;4303,58974358974;4173,84615384615;4308,71794871795;4383,58974358974;4294,35897435897;4476,41025641026;4595,38461538462;4015,89743589744;4430,25641025641;4190,25641025641;4429,74358974359;4288,71794871795;4136,41025641026;4930,76923076923;1596;1734;72,23;15,2162017822266;0;0;0;0
101;0;395;4297,4358974359;4171,28205128205;4307,17948717949;4382,05128205128;4298,46153846154;4471,79487179487;4589,74358974359;4011,79487179487;4425,12820512821;4181,53846153846;4421,02564102564;4284,61538461538;4134,8717948718;4926,66666666667;1594;1734;72,241;15,2162017822266;0;0;0;0
102;0;465;4291,28205128205;4168,20512820513;4309,74358974359;4381,02564102564;4297,4358974359;4462,5641025641;4584,61538461538;4004,10256410256;4423,58974358974;4175,89743589744;4422,5641025641;4282,5641025641;4133,33333333333;4924,61538461539;1595;1734;72,247;15,2162017822266;0;0;0;0
103;0;452;4295,38461538462;4171,79487179487;4313,33333333333;4378,97435897436;4294,35897435897;4459,48717948718;4589,23076923077;4004,61538461539;4427,69230769231;4180,51282051282;4426,66666666667;4288,71794871795;4139,48717948718;4933,33333333333;1594;1734;72,255;15,2162017822266;0;0;0;0
104;0;352;4303,58974358974;4174,8717948718;4313,84615384615;4378,46153846154;4296,92307692308;4458,97435897436;4589,23076923077;4006,66666666667;4426,66666666667;4184,10256410256;4424,61538461538;4292,30769230769;4144,10256410256;4937,94871794872;1594;1735;72,263;15,2162017822266;0;0;0;0
105;0;395;4303,07692307692;4175,89743589744;4310,25641025641;4379,48717948718;4297,4358974359;4460;4586,66666666667;4006,66666666667;4423,58974358974;4179,48717948718;4419,48717948718;4289,23076923077;4142,05128205128;4933,84615384615;1594;1733;72,269;15,2162017822266;0;0;0;0
106;0;465;4302,05128205128;4180,51282051282;4314,8717948718;4381,02564102564;4297,4358974359;4466,15384615385;4595,38461538462;4010,76923076923;4426,15384615385;4180;4422,05128205128;4291,28205128205;4142,05128205128;4933,84615384615;1593;1735;72,278;15,2162017822266;0;0;0;0
107;0;452;4304,10256410256;4181,02564102564;4323,07692307692;4378,46153846154;4301,53846153846;4470,76923076923;4599,48717948718;4014,35897435898;4428,20512820513;4186,15384615385;4427,69230769231;4296,92307692308;4146,66666666667;4935,89743589744;1593;1734;72,286;15,2162017822266;0;0;0;0
108;0;352;4299,48717948718;4175,89743589744;4318,46153846154;4378,46153846154;4302,5641025641;4467,69230769231;4590,25641025641;4011,28205128205;4426,15384615385;4184,61538461538;4427,69230769231;4296,92307692308;4146,15384615385;4936,92307692308;1593;1734;72,293;15,2162017822266;0;0;0;0
109;0;395;4293,84615384615;4174,8717948718;4312,82051282051;4381,53846153846;4303,07692307692;4467,17948717949;4585,12820512821;4008,71794871795;4425,12820512821;4183,07692307692;4424,61538461538;4294,8717948718;4142,5641025641;4936,92307692308;1594;1735;72,301;15,2162017822266;0;0;0;0
110;0;465;4290,76923076923;4173,84615384615;4311,28205128205;4374,35897435897;4303,07692307692;4465,64102564103;4580,51282051282;4004,10256410256;4424,61538461538;4176,92307692308;4416,92307692308;4290,25641025641;4137,4358974359;4930,25641025641;1593;1734;72,309;15,3725862503052;0;0;0;0
111;0;452;4284,61538461538;4166,15384615385;4297,94871794872;4366,15384615385;4299,48717948718;4452,82051282051;4568,20512820513;3992,82051282051;4419,48717948718;4153,33333333333;4403,58974358974;4281,53846153846;4126,66666666667;4915,89743589744;1593;1735;72,316;15,3725862503052;0;0;0;0
112;0;352;4288,20512820513;4167,69230769231;4293,84615384615;4370,76923076923;4298,97435897436;4447,69230769231;4566,15384615385;3993,33333333333;4419,48717948718;4142,5641025641;4398,97435897436;4283,58974358974;4129,74358974359;4919,48717948718;1593;1734;72,324;15,3725862503052;0;0;0;0
113;0;395;4303,07692307692;4178,46153846154;4311,79487179487;4375,38461538462;4302,5641025641;4459,48717948718;4577,4358974359;4005,64102564103;4425,12820512821;4165,64102564103;4412,30769230769;4296,92307692308;4151,28205128205;4944,61538461539;1594;1734;72,333;15,3725862503052;0;0;0;0
114;0;465;4305,12820512821;4182,5641025641;4319,48717948718;4373,33333333333;4304,10256410256;4462,05128205128;4583,07692307692;4007,17948717949;4423,58974358974;4180,51282051282;4421,53846153846;4302,5641025641;4158,97435897436;4953,84615384615;1593;1734;72,341;15,3725862503052;0;0;0;0
115;0;452;4295,38461538462;4176,41025641026;4309,74358974359;4369,74358974359;4303,58974358974;4454,35897435897;4582,05128205128;4003,07692307692;4420,51282051282;4166,15384615385;4413,33333333333;4297,4358974359;4143,07692307692;4935,38461538462;1593;1736;72,349;15,3725862503052;0;0;0;0
116;0;352;4293,33333333333;4171,79487179487;4308,71794871795;4371,28205128205;4303,58974358974;4461,02564102564;4586,66666666667;4007,69230769231;4424,61538461538;4165,12820512821;4409,23076923077;4295,89743589744;4138,97435897436;4929,23076923077;1594;1735;72,356;15,3725862503052;0;0;0;0
117;0;395;4301,53846153846;4176,92307692308;4317,94871794872;4374,8717948718;4306,15384615385;4474,35897435897;4593,33333333333;4015,38461538462;4432,30769230769;4186,66666666667;4423,07692307692;4300,51282051282;4155,89743589744;4947,69230769231;1593;1737;72,364;15,3725862503052;0;0;0;0
118;0;465;4306,15384615385;4181,53846153846;4317,4358974359;4377,94871794872;4311,28205128205;4473,33333333333;4591,79487179487;4013,33333333333;4434,8717948718;4195,38461538462;4434,35897435897;4305,12820512821;4158,97435897436;4950,76923076923;1594;1735;72,372;15,3725862503052;0;0;0;0
119;0;452;4297,94871794872;4176,41025641026;4310,76923076923;4376,92307692308;4311,28205128205;4462,5641025641;4586,66666666667;4004,61538461539;4430,76923076923;4185,12820512821;4427,69230769231;4301,02564102564;4145,12820512821;4933,84615384615;1592;1736;72,379;15,3725862503052;0;0;0;0
120;0;352;4281,53846153846;4168,20512820513;4305,12820512821;4369,74358974359;4309,74358974359;4458,46153846154;4582,5641025641;3998,97435897436;4423,58974358974;4170,25641025641;4415,38461538462;4290,76923076923;4137,4358974359;4923,58974358974;1593;1737;72,388;15,3725862503052;0;0;0;0
121;0;395;4275,38461538462;4163,58974358974;4300,51282051282;4363,07692307692;4308,71794871795;4456,92307692308;4576,41025641026;3995,89743589744;4416,92307692308;4156,41025641026;4404,61538461538;4286,66666666667;4132,82051282051;4918,46153846154;1592;1736;72,396;15,3725862503052;0;0;0;0
